TxHash,BlockNumber,UnixTimestamp,FromAddress,ToAddress,ContractAddress,Type,Value,Fee,Status,ErrCode,CurrentPrice,TxDateOpeningPrice,TxDateClosingPrice
0x1d9072eccc674c147101a38577446b2612910055b613340d5c47ef379010555c,20059584,2024-04-07 21:24:25.000000Z,0x8906c6FA8850f248C4e68d5799091a36AA3fA24d,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,19525911407985026124,ok,,,,
0x146fd079278d785ca57d3bad589f18f5072de6074e75e4a58684d1abbf3c2b20,20059569,2024-04-07 21:21:55.000000Z,0x72F3f52E4345C8af3bf19de27bE9449aB7ff379A,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,14569722449968119156,ok,,,,
0x517ce0a2a12be86df730496579bd6d136f205836d79522a59f060f04ec751d91,20059568,2024-04-07 21:21:45.000000Z,0x8997023f133eDFb50Af47E950fe38f7601166E78,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,14680222876269841095,ok,,,,
0xd79834eefa59be11d6b9d331e449a333bdc739c645f97f0ffdd6061402a97b71,20059545,2024-04-07 21:17:45.000000Z,0x515E46FaB034F14274Bf71A7D524CDCdCa155Af3,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,17604090853626663144,ok,,,,
0xb4c5bc00d0ca939a41e4bfad9c1f4f4a201cc7ae4ae02c4562d9b344d407e982,20059522,2024-04-07 21:13:45.000000Z,0x3935158D37A5B4B07468068D645C34528F6cf41f,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,17978520534529387032,ok,,,,
0x73c58e68a60aeeb1270c4c0cd130141278ef2a2ca81a6b670d986ad5d05ac97c,20059520,2024-04-07 21:13:15.000000Z,0x8906c6FA8850f248C4e68d5799091a36AA3fA24d,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,15828225018044491935,ok,,,,
0x992ec0c2df00f5d7cd0997cd782b757c30a128270690bfe4b5a847f21555fc8f,20059316,2024-04-07 20:38:35.000000Z,0xA328813626A965D4B606692BF86B4a83760436D4,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,17246675873195069922,ok,,,,
0xd4259074c733fc916e172df50a40f6ad9d1856edbf433297f67ce9520385607d,20059311,2024-04-07 20:37:35.000000Z,0xEd4D5412a1e8a565da5dC53712C6aD27c0107402,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,21840617255163565536,ok,,,,
0xc961c7b341395dd85a1168ad9d163b0f3e5ab7b460e76dd0021a65de87a6d6d6,20059172,2024-04-07 20:13:45.000000Z,0x8e918fC8549b8BC398512c6F3bDA5598dB931d33,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,10212019134765894411,ok,,,,
0x3daadd0e9b8f5e6d858fc6263a0d475e01a72d325b2d5b0577dfb3ed8010835e,20059066,2024-04-07 19:55:05.000000Z,0x82759e0bd699CB67BA736eD9f418C3B7504Fd4BE,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,14069481679354043580,ok,,,,
0x9f731655ff0d7b52612441cd54ec75d4556acf50d40709910b3fc2bafe29fb47,20059066,2024-04-07 19:55:05.000000Z,0xb579329B91d92e4f5655E12CbBB92b744dC1Fba3,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,14163302162410930935,ok,,,,
0x334bde71d21239d54b3f474e9957f736bf68255ecacd27aac6f248833deba5e7,20058990,2024-04-07 19:42:05.000000Z,0xBF626812e3a5916ccab3286b2756B7232b554de7,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,12998507082923472597,ok,,,,
0x58f135c284f6e24eb8e65df7c82f73e2c1801359088fe3331da8311ff341d108,20058931,2024-04-07 19:32:15.000000Z,0xd0044Ef940531e66e3194E735AcD9576e011C265,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,13490916653103805827,ok,,,,
0xc1bdd60fd6240683c88d1b22b0f6f98ecc8520959b1fbe51594a166bab991612,20058916,2024-04-07 19:29:45.000000Z,0xd0044Ef940531e66e3194E735AcD9576e011C265,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,17828828928872745855,ok,,,,
0xb5764a3da370ca0195cf56df33c716cd54303e21f325c49b195ca4c4a600a08d,20058830,2024-04-07 19:14:55.000000Z,0xD2A23272443f88434B3fFFc79CEe50D812e449A9,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,16883540317223650098,ok,,,,
0x333f978a4bcd36a0792608877f8a116be29a7b033ca59de4952a4645d7191518,20058813,2024-04-07 19:11:55.000000Z,0x6237C3e5A234596Dc5704ae3940a0929A03a2935,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,14101459667648800725,ok,,,,
0x5e6bd7b6b2b758737ed09df7b8c5918db45e79828367fcc9279d7c5d140d7a6c,20058811,2024-04-07 19:11:35.000000Z,0x162ca1810B14F7f3cAE0E02b4CA1510Bc1cA9d01,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,11060252047223705376,ok,,,,
0x0cce1205a2dc917514c6266d13e7b56c57fdd6d4f13c593f85c93c652ad29612,20058605,2024-04-07 18:36:35.000000Z,0x8e918fC8549b8BC398512c6F3bDA5598dB931d33,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,13822657461940469997,ok,,,,
0xec090dd26d80ba1e2caf265e0db175ecdfd0ec18ab5bf06f503d64bc498094db,20058332,2024-04-07 17:50:05.000000Z,0x8e918fC8549b8BC398512c6F3bDA5598dB931d33,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,16292800826762114283,ok,,,,
0x955d53f79051f6c936b3750a2f8b49692342a8364d51bbb11f149ab9322199c2,20058274,2024-04-07 17:39:45.000000Z,0x6a036c7f14EB46e8C6Ad1aA2fF300c81077fC0b3,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,14074111820006308665,ok,,,,
0x8d4b01ea02f92a2cb1785a238c41820d81e4aa3d3e23d0706426115d2f86d4c0,20058135,2024-04-07 17:15:45.000000Z,0x8e918fC8549b8BC398512c6F3bDA5598dB931d33,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,19347179887809943812,ok,,,,
0x8d4a244a791fa01196566a1bc2aa9f14eef55e1e1d04c1d7801b4fb4bda8e759,20058105,2024-04-07 17:10:35.000000Z,0xDFb690bc78ACD44DF2e07b523B89177356a3e419,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,18706927320000000000,ok,,,,
0xee14171ae848f63f56346ca2d5944ccefa8ae63cb68f86f2a4a0f8532317937c,20058095,2024-04-07 17:08:45.000000Z,0x8b172e3DbF204F7c280aDff0B53c62e115f0D681,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,97239594556056474102,ok,,,,
0xeca0333b9e70d9e842c6a2c62cc2ea0b544b33fca60271de5c8953119e47d7c7,20058086,2024-04-07 17:07:15.000000Z,0x8b172e3DbF204F7c280aDff0B53c62e115f0D681,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,23176976748187454973,ok,,,,
0x703ca59d31656c7174f97d08969406d07a21188fa1ff657bf5fd0479e8978fc8,20057878,2024-04-07 16:31:05.000000Z,0xd94dAbF0563C39647702A74991845BEEb722272B,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,9974330292926284560,ok,,,,
0xf7ee6f1912ab7d13ef08b8a976b7d17a954b776418a832fd5114735b212531e5,20057868,2024-04-07 16:29:25.000000Z,0xE9ff5cAAebDfc6E0fb9c0bc00e2ED7E0B0E78256,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,15346283265410677002,ok,,,,
0x9065e43f750e0dcf0b725a878a0a389225bc5f52005bbbdeb59ac2a887ab7556,20057823,2024-04-07 16:21:55.000000Z,0x4D8CebaBCd25Fb33C982EA74bcF832428B0De3FF,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,92862516528000000000,ok,,,,
0xcd5cb3dcb104427417cbbd8bafc21f016724d38f2ad38a6f029a342acdd6b839,20057814,2024-04-07 16:20:25.000000Z,0xD2BACaD31571e1590FE397dCBA802c00BCeFE340,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,16688557307418125190,ok,,,,
0x7fec7134934bdbe5bfbfd09e5a26fd8eced5e452fd6e9d85d0a9a1a007e545f5,20057786,2024-04-07 16:15:45.000000Z,0x4D8CebaBCd25Fb33C982EA74bcF832428B0De3FF,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,42023957976000000000,ok,,,,
0xd4e2f4c42349102d4312e3a74e2d443fdaf448c28c6b7762ee6fa3bfb6e46228,20057781,2024-04-07 16:14:55.000000Z,0xee04d8aC5EA8Da587f3Ba78C61fE2bE2f2f15Fe4,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,19002447951299416863,ok,,,,
0x656a2c248b75ce82a034f2c644982ae19e99b9a8883affe552539df8d8bdaf83,20057761,2024-04-07 16:11:35.000000Z,0x7754a209a9208BE7ebAf896443e7e56E24342920,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,17284757592275141400,ok,,,,
0x8fb3dc4288f4600ccf40970ec6486078a02a072be34ca41751dbeecb94fe8601,20057728,2024-04-07 16:06:05.000000Z,0x853cD31Fc3FCFa6Ec1B7b6Db600e4896882dEAd9,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,462685826009540245657,ok,,,,
0x537966f91768311b2b43db4679b9d23cb4dcdd041ded609e3bcf373fa6d2b17c,20057717,2024-04-07 16:03:45.000000Z,0xD3a52Cb35e22DaE5519C50b75884Ed8727c6EDF7,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,16215460278337197495,ok,,,,
0x3e13ea8a81269fa344211fd805f60843f25ef7c029b6fea583f3c135ca4f8af4,20057691,2024-04-07 15:58:55.000000Z,0x8e918fC8549b8BC398512c6F3bDA5598dB931d33,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,16478523230205738867,ok,,,,
0xfce9ac67801a2fe0f45df1c50178e3a6a2f9869ca861b77f3afa4890c7e937d0,20057661,2024-04-07 15:53:45.000000Z,0xA45391C3222aFf3b7DEdB51Aa832f88952a4cB69,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,15868795312871750763,ok,,,,
0xbd85fc881953f57b2137c7f21601edf9ec8fdee1a68b5321872e614216713573,20057657,2024-04-07 15:53:05.000000Z,0x8e918fC8549b8BC398512c6F3bDA5598dB931d33,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,18879947118927092547,ok,,,,
0xf4dab472ce78209f2534a34fd93088a755c8db89a6c025b277a7a46da80b1e60,20057642,2024-04-07 15:50:35.000000Z,0x5B080612ed975700Cadc86174775f739Cb213864,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,16733830473000000000,ok,,,,
0x268951de1a3c950d922fe4aa86cdd379650a7b8b59e0a69e466ffc1460e5a145,20057626,2024-04-07 15:47:55.000000Z,0x5B080612ed975700Cadc86174775f739Cb213864,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,26500696857000000000,ok,,,,
0x799446dd10a12421f446a8a2c5932c78a5065fee2546c466dc5728bc81b8953f,20057607,2024-04-07 15:44:45.000000Z,0xD8D57a592147164d700D9745bCDdF80293E261BF,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,16267172921751023847,ok,,,,
0xcbeb720cff4caef288bb7e007ead7d2bc7fa9573de1da821f557bbeb570e1ec3,20057607,2024-04-07 15:44:45.000000Z,0x5B080612ed975700Cadc86174775f739Cb213864,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,21836854287000000000,ok,,,,
0xf21050d81c53c16922d6d74b8c05cfe3ccdf42194d3a065337efe6641c8760a0,20057591,2024-04-07 15:41:55.000000Z,0xE042A962C33f4e1b50Fa7213a6792D569C53Bc17,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,17420685361387268565,ok,,,,
0x2ee54a993624e29c4dbb80cba324a7194bc1f2c4d067b9e8735059f2ec769e44,20057583,2024-04-07 15:40:35.000000Z,0xE042A962C33f4e1b50Fa7213a6792D569C53Bc17,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,17624367033151877745,ok,,,,
0x77c204dfe8eeec4c515ac92b3efa32c576ac65631264b952443a9dd26bb09d3f,20057552,2024-04-07 15:35:15.000000Z,0x202968A33E72375682a6dDDC989Da80bA549868B,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,10415994240923303904,ok,,,,
0xb41407807c1d1bcd3ffde0a089487a2301ebcf5cfa3a5e656760f5673e1ba675,20057546,2024-04-07 15:34:15.000000Z,0x202968A33E72375682a6dDDC989Da80bA549868B,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,10024991649637906981,ok,,,,
0xe6312b27b24e9fb28b62c738b2ddb4ff334695697b76eab8979d040e6e5a649e,20057543,2024-04-07 15:33:45.000000Z,0x202968A33E72375682a6dDDC989Da80bA549868B,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,10733054689159984987,ok,,,,
0x827d920429731088577c55563bf4e638b3e9aed66c969c344d3d9372b3d4235d,20057541,2024-04-07 15:33:25.000000Z,0x202968A33E72375682a6dDDC989Da80bA549868B,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,17763325763585845698,ok,,,,
0xdcd543cbc39bd0b885dcb4c8b2a5df672f51181fcadb4119fefd9b186754334f,20057537,2024-04-07 15:32:45.000000Z,0xB083379747fcE720cDCdA680CE34105990Ffdbd9,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,19007286917630701785,ok,,,,
0x9d62607136e1a8ec390391b47ec35bfaf9efefb2b11ce1a5bd7299e50a13fd81,20057514,2024-04-07 15:28:45.000000Z,0x93ebB61eF5CB4797f9ccA87b7cD1Ebc9ef6267Bd,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,18764525648718773460,ok,,,,
0x7ff9de7747e30bf08ff7e2551d89d3246aaf375b2fdfe2ee33f5842b4f1ad8da,20057509,2024-04-07 15:27:55.000000Z,0xe741c8947beC04cBc5dE229A3398EF588fC9D90e,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,17969671530924170715,ok,,,,
0x269dcdeb35746d1886fd2138509d9e27c7daa821d41861d09a38d846492b5dbb,20057416,2024-04-07 15:11:55.000000Z,0xF0b6d6ebf35E17fCF4e385d7A3942B0225AF6bC5,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,413922028853284384724,ok,,,,
0x2aed97278e2d9c611d27823e4d0ab5003eade4713647aa6bbbc1453d52a0657c,20057400,2024-04-07 15:09:15.000000Z,0xd8025919d61898Ecf920643C8f773c93B2839753,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,14636709931946907210,ok,,,,
0x9c205d1070f450450e5c074291e720f4f100edeb9113ff14fdbd36e8dc339792,20057306,2024-04-07 14:52:55.000000Z,0xEC4C15765C88090d6fD5f11251700ffF6Be12b4c,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,20048797152000000000,ok,,,,
0x448ad11c1d6b9d52d02acfbad91446a8760f1a8745e255b850f0923046790216,20057191,2024-04-07 14:32:25.000000Z,0xf85642D2e867B122f0e1b250c5281b1EF6b26A27,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,19186414562760367275,ok,,,,
0xc80669eb8a2242bb81a4d9559eb2fec28a7712553b581de5b8291b6d22102e37,20057047,2024-04-07 14:07:35.000000Z,0xEC4C15765C88090d6fD5f11251700ffF6Be12b4c,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,16952354433000000000,ok,,,,
0xb6921d6299a59a1cfb5063d96cdaabd5a1667ffd5425a8f70401ee90bb8e60b6,20056778,2024-04-07 13:21:05.000000Z,0x8e918fC8549b8BC398512c6F3bDA5598dB931d33,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,19273534471883861316,ok,,,,
0x40bfdb8e4753a97f926e8cc190ad05613b1a607c7458c535c916a2cc75057ec0,20056751,2024-04-07 13:16:35.000000Z,0x53b1826b9E4f34B7e6362488A3E2Be69d8b0c23A,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,34085015028000000000,ok,,,,
0x7a8d9f60272145bf20da8514c0c21120d67b270bb5779ddd01c524d5cbf71123,20056635,2024-04-07 12:56:45.000000Z,0x8e918fC8549b8BC398512c6F3bDA5598dB931d33,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,17437918723057649184,ok,,,,
0x8a0a712715958afe2e73ed10257c5c5a3af3663649bc3570d31a8ee5bb655da7,20056585,2024-04-07 12:47:45.000000Z,0xA8288F0Dd028639875db739Ca3f6B60CE26036dA,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,17363629135537100217,ok,,,,
0xdfed4acbcf5b976d05e5ef0c267f59ed2e55775488f5e4a3435bb78434639019,20056581,2024-04-07 12:47:05.000000Z,0x4EcF21e152a1ABE9EC7198099C72E592B012Ca16,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,18986845256656970265,ok,,,,
0xcf2eb4184cc64b087e60548f31c4fbba4b084ad5734a3604450aa3ef237ab5d6,20056547,2024-04-07 12:41:15.000000Z,0x99ace003E23791A88Fc8Da0056c6410188fEdD25,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,14467262958221831835,ok,,,,
0x20ac8e4e6e9263cacefb23d6559ac170d3c25574f1cdeb4b012b1876d646b4d0,20056543,2024-04-07 12:40:35.000000Z,0x68fF0bbD6907f5080f78F08326661c469689430d,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,21768854681701029264,ok,,,,
0xf8a87fb322609a1f01970ab92f170afe18eff46cfe70bc906bb7d5cd0658c7fc,20056390,2024-04-07 12:14:05.000000Z,0x906293654D807a17c5334934fF73028B5a357fc6,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,9825070474504011783,ok,,,,
0x0a417971dd365a80cdec192867cd827f17a98d29755529775928e8a388a2cd30,20056381,2024-04-07 12:12:35.000000Z,0x855C07750733A9F1679e67cD15b5de98A8c16Dc1,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,52618327542443435430,ok,,,,
0x925b9bd78b9ba0073b4742b3811f622596213e2c13c936bf38c3211bb439e2a8,20056377,2024-04-07 12:11:55.000000Z,0x906293654D807a17c5334934fF73028B5a357fc6,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,15330229857151266339,ok,,,,
0xcafc2d110a5de7e6fd682f3added794d23c7dad4d4f81ad2d18bc3f3964d52e6,20056357,2024-04-07 12:08:35.000000Z,0x021cD6E21865C919164D76E310B1352252b8c6Ad,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,357942567479289905929,ok,,,,
0x189f54ba828f96287392dfee6ed6539bd0d459b8ca7a531466c2ebce06915294,20056261,2024-04-07 11:51:25.000000Z,0x1499B2e34AcB5501392ff80f2c8CA10De5C5708D,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,15897138897552404013,ok,,,,
0x7be42e03e63278d16c187d0f3e5ea1d20c75654b58fb33a1dc05875235de68cc,20056218,2024-04-07 11:43:45.000000Z,0xCfD5fa3b3Cc5E8fEDe67c5DEA61df4fD4613E3ab,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,11823237493090614072,ok,,,,
0xea592e8df3260403f809cc6324cfc699085a02d9af6b8f118ac17cae88181557,20056210,2024-04-07 11:42:25.000000Z,0xEbbBFed6851581e3cFD0D5F81B0DED86b9f25d23,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,14165221282940134242,ok,,,,
0x2ef1e202492d49cfeae0b4a3a3f71f4034e0136f4724a97241ab29408f30d095,20056092,2024-04-07 11:22:25.000000Z,0xe2A2254a32f637D27db1FDf75e78037a0ED67C20,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,348933787168488460056,ok,,,,
0x65fd2c17469a5e3f759f9e3ba24f3f54b08b2792e9902b29df45b02ad9309af9,20056025,2024-04-07 11:10:55.000000Z,0xdB6aEBec635B49b86676a7794701058219BC4594,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,16867251675000000000,ok,,,,
0x7e7153b2521f82d014411831dcc59e3e3e4dfc58d34bc180534b84801585f08e,20056014,2024-04-07 11:09:05.000000Z,0xdB6aEBec635B49b86676a7794701058219BC4594,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,15999387786000000000,ok,,,,
0xc13209cca0cd00ecf78ef7159778f4a66a4b94c9022613555287301376a41239,20055990,2024-04-07 11:04:45.000000Z,0xeEC7f385a510f3288f5EA4f0b5F7BD24AC0DAC14,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,10811122869431285940,ok,,,,
0x06e3a11648dde033fb79923a885c220c9c5b0fbb3b4828157b0e6938adf83a3a,20055967,2024-04-07 11:00:45.000000Z,0xeEC7f385a510f3288f5EA4f0b5F7BD24AC0DAC14,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,14220906704846647170,ok,,,,
0x5a77e934f4f604883b4d38ff7bdb4dc0672d5a0531828793c75b1f01f0751781,20055748,2024-04-07 10:23:35.000000Z,0x61Ffb4AeA9a0eA943DD0a8afF67b8d53b0ABCEE7,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,13628135663953460145,ok,,,,
0x52ceac2e0217b6c5c8fc0909da177822921c85132a15e0132d595fb73f89733e,20055732,2024-04-07 10:20:55.000000Z,0xe707Cdf33ca67493f899c605075645B1321ca520,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,13302692201756666319,ok,,,,
0x549a88a31463d5634ff203584fa36b2754cebdbef447e966139adc66865298b3,20055658,2024-04-07 10:07:55.000000Z,0x4c613AB4879Cc788313CB56f59a18D00a5Bd1d79,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,10127733147000000000,ok,,,,
0xb3ec79bdfc7f200eba2b53620eb6ea80feb529e43a7bbd40d346152f671b44b6,20055596,2024-04-07 09:57:05.000000Z,0x2F7F2C551625daE4D0E9e09d0603F4129854843B,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,17160982733114808183,ok,,,,
0xc7256a8d567fbcc1b134c3a8617c301229e344831b88a86a90ae706bedb70423,20055005,2024-04-07 08:13:45.000000Z,0x675Da7A2202896ea57e29467b64a2B35E338FACf,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,18397371093062837220,ok,,,,
0x3f54b8e4ee4994f6a900cb04e744e3347191dea8c9127e3ac493f77d1b88612b,20054998,2024-04-07 08:12:25.000000Z,0xd2A672bCE1455906C47daBdf30a9078FFAcD806a,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,10275259981409766189,ok,,,,
0xa2934230cb8b226b19679e2cef017ee4f0b9cbdc0d657450c2941c6bba708a8c,20054945,2024-04-07 08:02:55.000000Z,0x7D00121ADE4e645a4791dF18e1535899559a0777,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,14657612885064438327,ok,,,,
0xd6d8016684dd44a39991ae9805bfaddf08f334ea33f237c8ca91ca42509e4751,20054934,2024-04-07 08:01:05.000000Z,0xC2c11F9DF3E7c0e5ea42Ee0Eebf7F8A9F86C094F,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,8453289318315143211,ok,,,,
0xf3414309ec083e7055c03598de29033b47817887255a070de570ab8c0d9c16e2,20054931,2024-04-07 08:00:35.000000Z,0xC2c11F9DF3E7c0e5ea42Ee0Eebf7F8A9F86C094F,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,14484489074866464606,ok,,,,
0xb0cde0b887babe6490695437a6564e0c50d7d8e33589899f93651ae7dbddd341,20054869,2024-04-07 07:49:45.000000Z,0xC75D97C6540BcFC0eD2E9d0eF33568E33c1C9c23,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,13864569729990162636,ok,,,,
0xae7a1fdbf632e0f0c2d4f1bbc1808bb500cec5bffb84238e61e0080cc8a24db5,20054840,2024-04-07 07:44:55.000000Z,0x61BC9EF3B425Ca40b006434960A7A63C73a77912,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,15397093703767781862,ok,,,,
0xc9d8daf473ab6fc06b5a9d6d33f03cb0c2ba1fb6cff9fef811b7ac95eb1fb9a6,20054829,2024-04-07 07:43:05.000000Z,0x162ca1810B14F7f3cAE0E02b4CA1510Bc1cA9d01,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,15378546222000000000,ok,,,,
